Nomor_Aju;Tanggal_Aju;Importir;Negara_Asal;Pelabuhan_Muat;Pelabuhan_Bongkar;HS_Code;Uraian_Barang;Nilai_FOB_USD;Freight_USD;Insurance_USD;Nilai_CIF_USD;Tarif_BM;Nilai_BM_IDR;Status_Jalur
127965-535050-20260613;2026-06-13;PT. Karya Logistik;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;24.247,21;1.516,97;121,24;25.885,42;5%;Rp 20.967.190;Hijau
155843-515712-20260129;2026-01-29;PT. Bina Abadi;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;11.317,24;613,34;56,59;11.987,17;5%;Rp 9.709.608;Hijau
626392-492127-20260107;2026-01-07;PT. Jaya Logistik;KR;KRPUS;IDTPP;85171200;Smartphone / Telepon Seluler;29.063,15;2.907,74;145,32;32.116,21;0%;Rp 0;Kuning
347231-504924-20260709;2026-07-09;PT. Maju Logistik;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;83.086,36;8.686,41;415,43;92.188,20;5%;Rp 74.672.442;Hijau
185569-493124-20260312;2026-03-12;PT. Makmur Gemilang;JP;JPTYO;IDTPP;94036090;Furnitur Kayu Lainnya;10.087,13;1.202,79;50,44;11.340,36;5%;Rp 9.185.692;Kuning
335445-129556-20260304;2026-03-04;PT. Makmur Gemilang;KR;KRPUS;IDTPP;39269099;Barang dari Plastik Lainnya;10.087,33;736,47;50,44;10.874,24;5%;Rp 8.808.134;Hijau
434165-203896-20260227;2026-02-27;PT. Makmur Utama;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;88.881,15;6.200,48;444,41;95.526,04;0%;Rp 0;Hijau
979940-849421-20260205;2026-02-05;PT. Karya Gemilang;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;33.554,35;3.426,34;167,77;37.148,46;5%;Rp 30.090.253;Hijau
781533-451577-20260708;2026-07-08;PT. Nusantara Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;7.605,53;511,58;38,03;8.155,14;5%;Rp 6.605.663;Hijau
929822-253143-20260127;2026-01-27;PT. Cahaya Logistik;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;25.618,55;2.932,31;128,09;28.678,95;5%;Rp 23.229.950;Hijau
244283-140163-20260623;2026-06-23;PT. Maju Logistik;JP;JPTYO;IDTPP;39269099;Barang dari Plastik Lainnya;7.661,01;832,55;38,31;8.531,87;5%;Rp 6.910.815;Hijau
400814-970068-20260709;2026-07-09;PT. Makmur Abadi;KR;KRPUS;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;7.639,78;567,78;38,20;8.245,76;10%;Rp 13.358.131;Hijau
595404-829884-20260520;2026-05-20;PT. Sentosa Sejahtera;US;USLAX;IDTPP;84145949;Kipas Angin Industri;17.860,64;1.787,31;89,30;19.737,25;5%;Rp 15.987.172;Hijau
971482-245534-20260123;2026-01-23;PT. Bina Mandiri;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;1.344,88;134,98;6,72;1.486,58;5%;Rp 1.204.130;Hijau
895702-839808-20260601;2026-06-01;PT. Sukses Sejahtera;JP;JPTYO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;1.685,97;81,35;8,43;1.775,75;10%;Rp 2.876.715;Hijau
591897-570392-20260419;2026-04-19;PT. Jaya Logistik;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;6.803,93;763,43;34,02;7.601,38;5%;Rp 6.157.118;Hijau
745239-105506-20260109;2026-01-09;PT. Makmur Sejahtera;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;3.962,39;318,66;19,81;4.300,86;15%;Rp 10.451.090;Hijau
183074-119927-20260108;2026-01-08;PT. Makmur Gemilang;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;19.479,09;2.067,05;97,40;21.643,54;5%;Rp 17.531.267;Merah
368355-326130-20260124;2026-01-24;PT. Sukses Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;4.493,43;294,79;22,47;4.810,69;5%;Rp 3.896.659;Hijau
975522-256782-20260225;2026-02-25;PT. Sukses Sejahtera;SG;SGSIN;IDTPP;84145949;Kipas Angin Industri;2.453,41;273,90;12,27;2.739,58;5%;Rp 2.219.060;Kuning
675462-862560-20260301;2026-03-01;PT. Cahaya Gemilang;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;77.557,78;5.517,16;387,79;83.462,73;5%;Rp 67.604.811;Hijau
738457-653408-20260510;2026-05-10;PT. Makmur Sejahtera;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;10.189,05;416,40;50,95;10.656,40;10%;Rp 17.263.368;Hijau
543814-216587-20260604;2026-06-04;PT. Bina Mandiri;JP;JPTYO;IDTPP;84145949;Kipas Angin Industri;14.487,39;1.628,83;72,44;16.188,66;5%;Rp 13.112.815;Hijau
913875-402096-20260107;2026-01-07;PT. Global Mandiri;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;2.417,05;114,33;12,09;2.543,47;15%;Rp 6.180.632;Kuning
349183-415779-20260524;2026-05-24;PT. Maju Mandiri;CN;CNCGO;IDTPP;94036090;Furnitur Kayu Lainnya;6.951,69;455,65;34,76;7.442,10;5%;Rp 6.028.101;Hijau
227767-150068-20260220;2026-02-20;PT. Cahaya Logistik;SG;SGSIN;IDTPP;39269099;Barang dari Plastik Lainnya;15.261,78;1.770,44;76,31;17.108,53;5%;Rp 13.857.909;Hijau
350021-540218-20260703;2026-07-03;PT. Bina Sejahtera;CN;CNCGO;IDTPP;84145949;Kipas Angin Industri;3.357,02;389,58;16,79;3.763,39;5%;Rp 3.048.346;Hijau
769989-932463-20260616;2026-06-16;PT. Cahaya Utama;SG;SGSIN;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;20.969,78;1.800,78;104,85;22.875,41;10%;Rp 37.058.164;Hijau
753064-579318-20260629;2026-06-29;PT. Cahaya Gemilang;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;6.497,90;588,37;32,49;7.118,76;10%;Rp 11.532.391;Hijau
165858-216242-20260520;2026-05-20;PT. Bina Sejahtera;CN;CNCGO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;9.414,13;714,30;47,07;10.175,50;0%;Rp 0;Hijau
977330-624108-20260418;2026-04-18;PT. Jaya Mandiri;SG;SGSIN;IDTPP;94036090;Furnitur Kayu Lainnya;6.489,57;411,81;32,45;6.933,83;5%;Rp 5.616.402;Hijau
725726-662093-20260226;2026-02-26;PT. Makmur Logistik;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;123.344,17;8.176,88;616,72;132.137,77;5%;Rp 107.031.594;Kuning
117233-762652-20260425;2026-04-25;PT. Sukses Abadi;SG;SGSIN;IDTPP;84713020;Laptop / Portable ADP;13.145,09;1.233,03;65,73;14.443,85;0%;Rp 0;Kuning
640410-702980-20260531;2026-05-31;PT. Makmur Abadi;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;3.754,64;376,18;18,77;4.149,59;5%;Rp 3.361.168;Hijau
353690-853448-20260313;2026-03-13;PT. Maju Mandiri;SG;SGSIN;IDTPP;61091010;Pakaian / T-shirt Katun;35.848,39;3.704,08;179,24;39.731,71;15%;Rp 96.548.055;Merah
250551-405420-20260727;2026-07-27;PT. Sentosa Utama;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;3.087,10;318,49;15,44;3.421,03;5%;Rp 2.771.034;Hijau
550089-101640-20260102;2026-01-02;PT. Cahaya Logistik;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;17.165,15;811,85;85,83;18.062,83;5%;Rp 14.630.892;Hijau
744674-469954-20260714;2026-07-14;PT. Sukses Mandiri;CN;CNCGO;IDTPP;39269099;Barang dari Plastik Lainnya;1.272,06;101,20;6,36;1.379,62;5%;Rp 1.117.492;Hijau
352249-698384-20260726;2026-07-26;PT. Karya Logistik;CN;CNCGO;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;2.713,99;121,06;13,57;2.848,62;10%;Rp 4.614.764;Hijau
536802-296412-20260210;2026-02-10;PT. Makmur Mandiri;JP;JPTYO;IDTPP;84713020;Laptop / Portable ADP;16.919,69;1.420,62;84,60;18.424,91;0%;Rp 0;Hijau
796643-800674-20260628;2026-06-28;PT. Makmur Gemilang;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;32.407,98;2.441,05;162,04;35.011,07;5%;Rp 28.358.967;Hijau
189772-648913-20260419;2026-04-19;PT. Cahaya Mandiri;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;16.409,93;1.821,77;82,05;18.313,75;0%;Rp 0;Hijau
478120-170966-20260329;2026-03-29;PT. Cahaya Logistik;KR;KRPUS;IDTPP;87089990;Suku Cadang Kendaraan Bermotor;11.628,59;791,60;58,14;12.478,33;10%;Rp 20.214.895;Kuning
651613-670511-20260313;2026-03-13;PT. Global Mandiri;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;9.308,43;459,51;46,54;9.814,48;5%;Rp 7.949.729;Hijau
631971-924613-20260209;2026-02-09;PT. Karya Gemilang;CN;CNCGO;IDTPP;85171200;Smartphone / Telepon Seluler;2.266,00;116,56;11,33;2.393,89;0%;Rp 0;Kuning
632280-681070-20260225;2026-02-25;PT. Jaya Mandiri;CN;CNCGO;IDTPP;85444290;Kabel Listrik dengan Konektor;5.631,81;568,37;28,16;6.228,34;5%;Rp 5.044.955;Hijau
121322-509420-20260715;2026-07-15;PT. Sukses Logistik;SG;SGSIN;IDTPP;85444290;Kabel Listrik dengan Konektor;7.686,60;687,62;38,43;8.412,65;5%;Rp 6.814.247;Kuning
592972-145649-20260328;2026-03-28;PT. Cahaya Utama;US;USLAX;IDTPP;84145949;Kipas Angin Industri;47.502,93;2.284,41;237,51;50.024,85;5%;Rp 40.520.128;Kuning
766549-505674-20260127;2026-01-27;PT. Global Utama;CN;CNCGO;IDTPP;61091010;Pakaian / T-shirt Katun;20.177,87;942,88;100,89;21.221,64;15%;Rp 51.568.585;Merah
491435-365971-20260124;2026-01-24;PT. Global Sejahtera;JP;JPTYO;IDTPP;90189090;Alat Medis / Instrumen Kedokteran;1.610,58;154,74;8,05;1.773,37;0%;Rp 0;Kuning
